,Micelle 1,Micelle 2
0,199,1
1,199,1
2,199,1
3,199,1
4,199,1
5,199,1
6,199,1
7,199,1
8,199,1
9,199,1
10,199,1
11,200,0
12,199,1
13,199,1
14,199,1
15,199,1
16,199,1
17,199,1
18,199,1
19,199,1
20,199,1
21,199,1
22,199,1
23,199,1
24,199,1
25,199,1
26,199,1
27,199,1
28,199,1
29,199,1
30,199,1
31,199,1
32,199,1
33,199,1
34,199,1
35,199,1
36,199,1
37,199,1
38,199,1
39,199,1
40,199,1
41,199,1
42,199,1
43,199,1
44,199,1
45,199,1
46,199,1
47,199,1
48,199,1
49,199,1
50,199,1
51,199,1
52,199,1
53,199,1
54,199,1
55,199,1
56,199,1
57,199,1
58,114,85
59,114,85
60,114,85
61,114,86
62,114,86
63,114,86
64,114,86
65,114,86
66,114,86
67,114,86
68,114,86
69,114,86
70,114,86
71,114,86
72,114,86
73,114,86
74,114,86
75,114,86
76,114,86
77,114,86
78,114,86
79,114,86
80,114,86
81,114,86
82,114,86
83,114,86
84,114,86
85,114,86
86,114,86
87,114,86
88,114,86
89,114,86
90,114,86
91,114,86
92,114,86
93,114,86
94,114,86
95,114,86
96,114,86
97,114,86
98,114,86
99,114,86
100,114,86
101,114,86
102,114,86
103,114,86
104,114,86
105,114,86
106,114,86
107,114,86
108,114,86
109,114,86
110,114,86
111,114,86
112,114,86
113,114,86
114,114,86
115,114,86
116,114,86
117,114,86
118,114,86
119,114,86
120,114,86
121,114,86
122,114,86
123,114,86
124,114,86
125,114,86
126,114,86
127,114,86
128,114,86
129,114,86
130,114,86
131,114,86
132,114,86
133,114,86
134,114,86
135,114,86
136,114,86
137,114,86
138,114,86
139,114,86
140,114,86
141,114,86
142,114,86
143,114,86
144,114,86
145,114,86
146,114,86
147,114,86
148,114,86
149,114,86
150,114,86
151,114,86
152,114,86
153,114,86
154,114,86
155,114,86
156,114,86
157,114,86
158,114,86
159,114,86
160,114,86
161,114,86
162,114,86
163,114,86
164,114,86
165,114,86
166,114,86
167,114,86
168,114,86
169,114,86
170,114,86
171,114,86
172,114,86
173,114,86
174,114,86
175,114,86
176,114,86
177,114,86
178,114,86
179,114,86
180,114,86
181,114,86
182,114,86
183,114,86
184,114,86
185,114,86
186,114,86
187,114,86
188,114,86
189,114,86
190,114,86
191,114,86
192,114,86
193,114,86
194,114,86
195,114,86
196,114,86
197,114,86
198,114,86
199,114,86
200,114,86
201,114,86
202,114,86
203,114,86
204,114,86
205,114,86
206,114,86
207,114,86
208,114,86
209,114,86
210,114,86
211,114,86
212,114,86
213,114,86
214,114,86
215,114,86
216,114,86
217,114,86
218,114,86
219,114,86
220,114,86
221,114,86
222,114,86
223,114,86
224,114,86
225,114,86
226,114,86
227,114,86
228,114,86
229,114,86
230,114,86
231,114,86
232,114,86
233,114,86
234,114,86
235,114,86
236,114,86
237,114,86
238,114,86
239,114,86
240,114,86
241,114,86
242,114,86
243,114,86
244,114,86
245,114,86
246,114,86
247,114,86
248,114,86
249,114,86
250,114,86
251,114,86
252,114,86
253,114,86
254,114,86
255,114,86
256,114,86
257,114,86
258,114,86
259,114,86
260,114,86
261,114,86
262,114,86
263,114,86
264,114,86
265,114,86
266,114,86
267,114,86
268,114,86
269,114,86
270,114,86
271,114,86
272,114,86
273,114,86
274,114,86
275,114,86
276,114,86
277,114,86
278,114,86
279,114,86
280,114,86
281,114,86
282,114,86
283,114,86
284,114,86
285,114,86
286,114,86
287,114,86
288,114,86
289,114,86
290,114,86
291,114,86
292,114,86
293,114,86
294,114,86
295,114,86
296,114,86
297,114,86
298,114,86
299,114,86
300,114,86
301,114,86
302,114,86
303,114,86
304,114,86
305,114,86
306,114,86
307,114,86
308,114,86
309,114,86
310,114,86
311,114,86
312,114,86
313,114,86
314,114,86
315,114,86
316,114,86
317,114,86
318,114,86
319,114,86
320,114,86
321,114,86
322,114,86
323,114,86
324,114,86
325,114,86
326,114,86
327,114,86
328,114,86
329,114,86
330,114,86
331,114,86
332,114,86
333,114,86
334,114,86
335,114,86
336,114,86
337,114,86
338,114,86
339,114,86
340,114,86
341,114,86
342,114,86
343,114,86
344,114,86
345,114,86
346,114,86
347,114,86
348,114,86
349,114,86
350,114,86
351,114,86
352,114,86
353,114,86
354,114,86
355,114,86
356,114,86
357,114,86
358,114,86
359,114,86
360,114,86
361,114,86
362,114,86
363,114,86
364,114,86
365,114,86
366,114,86
367,114,86
368,114,86
369,114,86
370,114,86
371,114,86
372,114,86
